Village,risque_moyen_2026,risque_max_2026,mois_pic_2026,Province,Détection tardive,Animal non attaché,Source d'eau contaminée,Infection non isolée
GONGO 2 | MAIBO | SARH,0.004050880650974639,0.005679577537989612,2026-05,MC,0.16666666666666666,0.3333333333333333,0.0,0.0
MAILAOU | KEMKIAN | SARH,0.004029250896201602,0.006074497291102263,2026-07,MC,0.0,0.25,0.5,0.5
GUELKEB | TAMIO | BERE,0.004021449820547611,0.005896191859108268,2026-07,Tandjile,0.0,0.5,0.0,0.0
MARABE 1 | MARABE | KYABE,0.0040145132080113355,0.0055053495091532565,2026-07,MC,0.0,0.0,0.0,0.0
GENTIL | KOKAGA | SARH,0.0039960244296786615,0.006321950781101689,2026-07,MC,0.0,0.6666666666666666,0.0,0.0
MATA | MANDA | BALIMBA,0.0039960244296786615,0.006321950781101689,2026-07,MC,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
MANDIKAGA | BALIMBA | BALIMBA,0.0039960244296786615,0.006321950781101689,2026-07,MC,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
KOLBEYA | MASSA KABA | KYABE,0.003983075746797082,0.0055053495091532565,2026-07,MC,0.0,1.0,0.0,0.0
KOUROU | MASSA KABA | KYABE,0.003972741093422913,0.005391577531915314,2026-07,MC,0.0,0.0,0.0,0.0
DOUAH | TCHAOUEN | BENOYE,0.00396919076061051,0.006190320788513791,2026-07,LOC,0.0,0.75,0.0,0.25
GOUDOUM GOUDOUM MASSA | KELENGUE | BAILLI,0.003960951679789844,0.0062249822777409106,2026-07,CB,0.0,1.0,0.0,0.0
MAIKOLO 1 | MAIBO | SARH,0.003958932301594269,0.006040531813992986,2026-07,MC,1.0,0.0,1.0,1.0
AL-ARDEP | AL-ARDEP | ABOUDEIA,0.003950528063003361,0.006632002193736608,2026-07,SLM,0.0,1.0,0.0,0.0
KEMKIAN | KEMKIAN | SARH,0.003950528063003361,0.006632002193736608,2026-07,MC,0.0,1.0,0.0,0.0
KEMDERE | KEMDERE | SARH,0.003950528063003361,0.006632002193736608,2026-07,MC,0.0,1.0,0.0,1.0
NAOUNE | MANGUEIGNE | HARAZE,0.003950528063003361,0.006632002193736608,2026-07,SLM,0.0,1.0,0.0,1.0
KELENGUE | LARGANA | GUELENDENG,0.0039317025832646514,0.00588514236478002,2026-07,MKE,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333
TEIMA | TCHAOUEN | BENOYE,0.003916664514775961,0.00588514236478002,2026-07,LOC,0.25,0.75,0.5,0.5
FERME VILLAGE | MAIMANA | DANAMADJI,0.003916408714052781,0.005340441030217396,2026-07,MC,0.5,0.5,1.0,1.0
BOUROU | DAHA | HARAZE,0.003910431918071904,0.005366742463907535,2026-01,SLM,0.0,0.0,0.0,1.0
KAIMANE-MBA | BAMBARA | DANAMADJI,0.003907147831402767,0.0053530397392657,2026-07,MC,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857
KOLONGASSARA | DAHA | HARAZE,0.0039015472451238583,0.00572784016681064,2026-07,SLM,0.0,0.5,0.0,0.5
SOKORE | MAYO 1 | BIOBE,0.003900658110763363,0.005391577531915314,2026-07,MC,0.0,1.0,0.0,0.0
GUELDOUA | TCHAOUEN | BENOYE,0.003900658110763363,0.005391577531915314,2026-07,LOC,0.0,1.0,0.0,0.0
BOUSSA | BOUSSA | KYABE,0.0039003339533288657,0.005366742463907535,2026-01,MC,0.0,1.0,0.0,0.0
OROL | SILIA | GAM,0.0038929690446768803,0.007342066378996015,2026-08,MKE,0.0,1.0,0.0,0.0
BERE BERE | MOURAI SARA | BAILLI,0.003889258157240033,0.005650059063539744,2026-06,CB,0.25,0.75,0.25,0.5
GUELSAOU 1 | TCHAOUEN | BENOYE,0.0038394251188253892,0.005985139349082161,2026-07,LOC,0.0,0.8333333333333334,0.3333333333333333,0.3333333333333333
NGONDEI CENTRE | NGONDEI | KYABE,0.0038234512681968227,0.0051991919069612124,2026-07,MC,0.0,1.0,0.0,0.0
KEUBEU | GABRI-NGOLO | LAI,0.0038198748287832616,0.009903469580321555,2026-07,Tandjile,0.0,0.0,1.0,1.0
KOTONGORO 2 | KEMATA | SARH,0.0038191822914122177,0.0060488788565757285,2026-07,MC,0.5,0.0,0.5,0.5
